Point ID,arc_length,bedrock,ceff,cell_area,groundedmask,h,h velocity,haf,ls,Points_0,Points_1,Points_2,Points_Magnitude,pvar,smb_ref,ssavelocity 1,ssavelocity 2,strbasemag,vtkValidPointMask,x,y,zb,zs
70,51800,-312.133,1e+20,433013,1,1573.61,0.00384113,1223.69,-591308,150000,51800,0,158692,0,0.3,16.339,30.1235,1e+20,1,150000,51800,-312.133,1261.47
71,52540,-311.823,1e+20,433013,1,1571.73,0.00384307,1222.16,-591064,150000,52540,0,158935,0,0.3,16.4853,30.539,1e+20,1,150000,52540,-311.823,1259.9
72,53280,-311.412,1e+20,433013,1,1569.73,0.00384503,1220.63,-590818,150000,53280,0,159182,0,0.3,16.628,30.9511,1e+20,1,150000,53280,-311.412,1258.32
73,54020,-310.983,1e+20,433013,1,1567.71,0.00384702,1219.08,-590569,150000,54020,0,159431,0,0.3,16.7685,31.363,1e+20,1,150000,54020,-310.983,1256.73
74,54760,-310.484,1e+20,433013,1,1565.61,0.00384903,1217.54,-590317,150000,54760,0,159683,0,0.3,16.9062,31.7726,1e+20,1,150000,54760,-310.484,1255.12
75,55500,-309.835,1e+20,433013,1,1563.34,0.00385106,1216,-590061,150000,55500,0,159938,0,0.3,17.0394,32.1772,1e+20,1,150000,55500,-309.835,1253.5
76,56240,-309.114,1e+20,433013,1,1560.99,0.00385312,1214.46,-589803,150000,56240,0,160197,0,0.3,17.1698,32.5794,1e+20,1,150000,56240,-309.114,1251.88
77,56980,-308.373,1e+20,433013,1,1558.61,0.00385519,1212.91,-589542,150000,56980,0,160458,0,0.3,17.2981,32.9812,1e+20,1,150000,56980,-308.373,1250.23
78,57720,-307.566,1e+20,433013,1,1556.15,0.00385729,1211.35,-589278,150000,57720,0,160722,0,0.3,17.4237,33.3809,1e+20,1,150000,57720,-307.566,1248.58
79,58460,-306.607,1e+20,433013,1,1553.53,0.0038594,1209.81,-589010,150000,58460,0,160989,0,0.3,17.5449,33.7754,1e+20,1,150000,58460,-306.607,1246.92
80,59200,-305.604,1e+20,433013,1,1550.85,0.00386153,1208.25,-588740,150000,59200,0,161260,0,0.3,17.6637,34.1684,1e+20,1,150000,59200,-305.604,1245.25
81,59940,-304.578,1e+20,433013,1,1548.14,0.00386369,1206.69,-588467,150000,59940,0,161533,0,0.3,17.7805,34.5609,1e+20,1,150000,59940,-304.578,1243.56
82,60680,-303.479,1e+20,433013,1,1545.35,0.00386586,1205.13,-588191,150000,60680,0,161809,0,0.3,17.8945,34.951,1e+20,1,150000,60680,-303.479,1241.86
83,61420,-302.254,1e+20,433013,1,1542.41,0.00386804,1203.57,-587912,150000,61420,0,162088,0,0.3,18.0047,35.3365,1e+20,1,150000,61420,-302.254,1240.16
84,62160,-301,1e+20,433013,1,1539.44,0.00387024,1202,-587630,150000,62160,0,162370,0,0.3,18.1127,35.7212,1e+20,1,150000,62160,-301,1238.44
85,62900,-299.721,1e+20,433013,1,1536.43,0.00387246,1200.43,-587345,150000,62900,0,162654,0,0.3,18.2187,36.1052,1e+20,1,150000,62900,-299.721,1236.71
86,63640,-298.366,1e+20,433013,1,1533.33,0.00387469,1198.85,-587058,150000,63640,0,162942,0,0.3,18.3217,36.4864,1e+20,1,150000,63640,-298.366,1234.96
87,64380,-296.91,1e+20,433013,1,1530.12,0.00387694,1197.27,-586767,150000,64380,0,163232,0,0.3,18.4214,36.8639,1e+20,1,150000,64380,-296.91,1233.21
88,65120,-295.44,1e+20,433013,1,1526.89,0.0038792,1195.68,-586474,150000,65120,0,163526,0,0.3,18.519,37.2409,1e+20,1,150000,65120,-295.44,1231.45
89,65860,-293.943,1e+20,433013,1,1523.62,0.00388149,1194.09,-586178,150000,65860,0,163822,0,0.3,18.6146,37.6171,1e+20,1,150000,65860,-293.943,1229.67
90,66600,-292.37,1e+20,433013,1,1520.25,0.00388378,1192.49,-585879,150000,66600,0,164121,0,0.3,18.7072,37.9902,1e+20,1,150000,66600,-292.37,1227.88
91,67340,-290.719,1e+20,433013,1,1516.81,0.00388608,1190.89,-585577,150000,67340,0,164422,0,0.3,18.7967,38.3603,1e+20,1,150000,67340,-290.719,1226.08
92,68080,-289.068,1e+20,433013,1,1513.34,0.00388841,1189.28,-585273,150000,68080,0,164727,0,0.3,18.8843,38.7303,1e+20,1,150000,68080,-289.068,1224.27
93,68820,-287.391,1e+20,433013,1,1509.85,0.00389076,1187.67,-584966,150000,68820,0,165034,0,0.3,18.9698,39.0994,1e+20,1,150000,68820,-287.391,1222.45
94,69560,-285.638,1e+20,433013,1,1506.26,0.00389311,1186.05,-584656,150000,69560,0,165344,0,0.3,19.0522,39.4651,1e+20,1,150000,69560,-285.638,1220.62
95,70300,-283.829,1e+20,433013,1,1502.61,0.00389548,1184.42,-584343,150000,70300,0,165657,0,0.3,19.1319,39.8284,1e+20,1,150000,70300,-283.829,1218.78
96,71040,-282.034,1e+20,433013,1,1498.96,0.00389787,1182.78,-584028,150000,71040,0,165972,0,0.3,19.2097,40.1921,1e+20,1,150000,71040,-282.034,1216.92
97,71780,-280.214,1e+20,433013,1,1495.27,0.00390028,1181.14,-583710,150000,71780,0,166290,0,0.3,19.2853,40.5546,1e+20,1,150000,71780,-280.214,1215.06
98,72520,-278.321,1e+20,433013,1,1491.5,0.00390269,1179.49,-583389,150000,72520,0,166611,0,0.3,19.3577,40.9135,1e+20,1,150000,72520,-278.321,1213.18
99,73260,-276.395,1e+20,433013,1,1487.69,0.00390512,1177.83,-583065,150000,73260,0,166934,0,0.3,19.4277,41.2707,1e+20,1,150000,73260,-276.395,1211.29
100,74000,-274.489,1e+20,433013,1,1483.88,0.00390758,1176.16,-582739,150000,74000,0,167260,0,0.3,19.4959,41.6285,1e+20,1,150000,74000,-274.489,1209.39
101,74740,-272.562,1e+20,433013,1,1480.04,0.00391005,1174.48,-582411,150000,74740,0,167589,0,0.3,19.5618,41.985,1e+20,1,150000,74740,-272.562,1207.48
102,75480,-270.567,1e+20,433013,1,1476.12,0.00391253,1172.8,-582079,150000,75480,0,167920,0,0.3,19.6244,42.3377,1e+20,1,150000,75480,-270.567,1205.55
103,76220,-268.563,1e+20,433013,1,1472.18,0.00391503,1171.11,-581745,150000,76220,0,168254,0,0.3,19.6849,42.6895,1e+20,1,150000,76220,-268.563,1203.62
104,76960,-266.578,1e+20,433013,1,1468.25,0.00391756,1169.4,-581409,150000,76960,0,168591,0,0.3,19.7435,43.0416,1e+20,1,150000,76960,-266.578,1201.67
