Point ID,arc_length,bedrock,ceff,cell_area,groundedmask,h,h velocity,haf,ls,Points_0,Points_1,Points_2,Points_Magnitude,pvar,smb_ref,ssavelocity 1,ssavelocity 2,strbasemag,vtkValidPointMask,x,y,zb,zs
777,382628,-2075.12,1e+20,433013,-1,382.649,-0.00505802,0,-102145,545400,349650,0,647855,0,0.3,295.382,340.413,1e+20,1,545400,349650,-341.334,41.3175
778,383121,-2077.16,1e+20,433013,-1,382.063,-0.00499407,0,-101734,545600,350100,0,648266,0,0.3,295.965,340.498,1e+20,1,545600,350100,-340.811,41.2541
779,383613,-2079.19,1e+20,433013,-1,381.478,-0.0049309,0,-101322,545800,350550,0,648678,0,0.3,296.543,340.581,1e+20,1,545800,350550,-340.289,41.191
780,384105,-2081.25,1e+20,433013,-1,380.896,-0.00486804,0,-100911,546000,351000,0,649089,0,0.3,297.118,340.668,1e+20,1,546000,351000,-339.771,41.1282
781,384598,-2083.33,1e+20,433013,-1,380.317,-0.00480534,0,-100499,546200,351450,0,649501,0,0.3,297.693,340.757,1e+20,1,546200,351450,-339.254,41.0656
782,385090,-2085.36,1e+20,433013,-1,379.738,-0.00474331,0,-100087,546400,351900,0,649913,0,0.3,298.262,340.843,1e+20,1,546400,351900,-338.738,41.0031
783,385583,-2087.38,1e+20,433013,-1,379.16,-0.00468134,0,-99675.3,546600,352350,0,650325,0,0.3,298.83,340.929,1e+20,1,546600,352350,-338.222,40.9407
784,386075,-2089.46,1e+20,433013,-1,378.586,-0.00461977,0,-99263.4,546800,352800,0,650737,0,0.3,299.395,341.021,1e+20,1,546800,352800,-337.71,40.8787
785,386568,-2091.5,1e+20,433013,-1,378.013,-0.00455883,0,-98851.2,547000,353250,0,651149,0,0.3,299.956,341.109,1e+20,1,547000,353250,-337.199,40.8169
786,387060,-2093.55,1e+20,433013,-1,377.442,-0.00449811,0,-98439,547200,353700,0,651561,0,0.3,300.514,341.2,1e+20,1,547200,353700,-336.689,40.7552
787,387553,-2095.59,1e+20,433013,-1,376.872,-0.00443748,0,-98026.8,547400,354150,0,651973,0,0.3,301.071,341.293,1e+20,1,547400,354150,-336.181,40.6937
788,388045,-2097.61,1e+20,433013,-1,376.304,-0.00437753,0,-97614.3,547600,354600,0,652386,0,0.3,301.623,341.382,1e+20,1,547600,354600,-335.674,40.6322
789,388537,-2099.67,1e+20,433013,-1,375.739,-0.00431794,0,-97201.8,547800,355050,0,652798,0,0.3,302.173,341.476,1e+20,1,547800,355050,-335.17,40.5712
790,389030,-2101.74,1e+20,433013,-1,375.175,-0.00425844,0,-96789.3,548000,355500,0,653211,0,0.3,302.722,341.572,1e+20,1,548000,355500,-334.667,40.5103
791,389522,-2103.74,1e+20,433013,-1,374.612,-0.0041996,0,-96376.4,548200,355950,0,653624,0,0.3,303.264,341.665,1e+20,1,548200,355950,-334.164,40.4496
792,390015,-2105.76,1e+20,433013,-1,374.05,-0.00414088,0,-95963.5,548400,356400,0,654036,0,0.3,303.805,341.759,1e+20,1,548400,356400,-333.663,40.3889
793,390507,-2107.82,1e+20,433013,-1,373.492,-0.00408251,0,-95550.7,548600,356850,0,654449,0,0.3,304.344,341.858,1e+20,1,548600,356850,-333.166,40.3287
794,391000,-2109.86,1e+20,433013,-1,372.935,-0.00402478,0,-95137.5,548800,357300,0,654862,0,0.3,304.878,341.955,1e+20,1,548800,357300,-332.669,40.2685
795,391492,-2111.87,1e+20,433013,-1,372.379,-0.00396711,0,-94724.3,549000,357750,0,655276,0,0.3,305.41,342.052,1e+20,1,549000,357750,-332.173,40.2085
796,391985,-2113.91,1e+20,433013,-1,371.826,-0.00390971,0,-94311.1,549200,358200,0,655689,0,0.3,305.939,342.153,1e+20,1,549200,358200,-331.679,40.1487
797,392477,-2115.91,1e+20,433013,-1,371.272,-0.00385284,0,-93897.6,549400,358650,0,656102,0,0.3,306.464,342.251,1e+20,1,549400,358650,-331.185,40.089
798,392969,-2117.97,1e+20,433013,-1,370.724,-0.0037964,0,-93484.1,549600,359100,0,656516,0,0.3,306.987,342.354,1e+20,1,549600,359100,-330.696,40.0297
799,393462,-2120,1e+20,433013,-1,370.175,-0.00373997,0,-93070.6,549800,359550,0,656929,0,0.3,307.508,342.457,1e+20,1,549800,359550,-330.207,39.9705
800,393954,-2121.99,1e+20,433013,-1,369.628,-0.00368415,0,-92656.8,550000,360000,0,657343,0,0.3,308.022,342.559,1e+20,1,550000,360000,-329.718,39.9114
801,394447,-2124.01,1e+20,433013,-1,369.082,-0.00362852,0,-92242.9,550200,360450,0,657757,0,0.3,308.536,342.663,1e+20,1,550200,360450,-329.231,39.8524
802,394939,-2126.06,1e+20,433013,-1,368.54,-0.00357316,0,-91829.1,550400,360900,0,658171,0,0.3,309.047,342.77,1e+20,1,550400,360900,-328.748,39.7939
803,395432,-2128.09,1e+20,433013,-1,367.999,-0.00351841,0,-91414.9,550600,361350,0,658585,0,0.3,309.553,342.876,1e+20,1,550600,361350,-328.265,39.7355
804,395924,-2130.07,1e+20,433013,-1,367.457,-0.00346362,0,-91000.7,550800,361800,0,658999,0,0.3,310.057,342.982,1e+20,1,550800,361800,-327.782,39.677
805,396417,-2132.09,1e+20,433013,-1,366.919,-0.00340923,0,-90586.6,551000,362250,0,659413,0,0.3,310.558,343.093,1e+20,1,551000,362250,-327.302,39.6189
806,396909,-2134.09,1e+20,433013,-1,366.382,-0.00335527,0,-90172.1,551200,362700,0,659828,0,0.3,311.055,343.2,1e+20,1,551200,362700,-326.823,39.5609
807,397401,-2136.14,1e+20,433013,-1,365.849,-0.00330169,0,-89757.6,551400,363150,0,660242,0,0.3,311.548,343.313,1e+20,1,551400,363150,-326.347,39.5033
808,397894,-2138.14,1e+20,433013,-1,365.315,-0.00324813,0,-89343.1,551600,363600,0,660657,0,0.3,312.04,343.426,1e+20,1,551600,363600,-325.871,39.4457
809,398386,-2140.12,1e+20,433013,-1,364.783,-0.00319509,0,-88928.3,551800,364050,0,661072,0,0.3,312.526,343.538,1e+20,1,551800,364050,-325.396,39.3882
810,398879,-2142.13,1e+20,433013,-1,364.253,-0.0031423,0,-88513.5,552000,364500,0,661486,0,0.3,313.01,343.652,1e+20,1,552000,364500,-324.924,39.331
811,399371,-2144.16,1e+20,433013,-1,363.726,-0.00308972,0,-88098.7,552200,364950,0,661901,0,0.3,313.493,343.77,1e+20,1,552200,364950,-324.453,39.274
812,399864,-2146.16,1e+20,433013,-1,363.2,-0.00303767,0,-87683.6,552400,365400,0,662316,0,0.3,313.969,343.886,1e+20,1,552400,365400,-323.984,39.2172
813,400356,-2148.12,1e+20,433013,-1,362.673,-0.0029856,0,-87268.4,552600,365850,0,662731,0,0.3,314.443,344.003,1e+20,1,552600,365850,-323.514,39.1604
814,400848,-2150.14,1e+20,433013,-1,362.151,-0.00293398,0,-86853.3,552800,366300,0,663147,0,0.3,314.914,344.125,1e+20,1,552800,366300,-323.048,39.104
815,401341,-2152.13,1e+20,433013,-1,361.629,-0.00288271,0,-86437.8,553000,366750,0,663562,0,0.3,315.381,344.244,1e+20,1,553000,366750,-322.583,39.0477
816,401833,-2154.16,1e+20,433013,-1,361.111,-0.00283174,0,-86022.4,553200,367200,0,663978,0,0.3,315.845,344.368,1e+20,1,553200,367200,-322.12,38.9917
817,402326,-2156.13,1e+20,433013,-1,360.592,-0.00278083,0,-85607,553400,367650,0,664393,0,0.3,316.306,344.492,1e+20,1,553400,367650,-321.657,38.9356
818,402818,-2158.09,1e+20,433013,-1,360.074,-0.00273036,0,-85191.2,553600,368100,0,664809,0,0.3,316.762,344.614,1e+20,1,553600,368100,-321.196,38.8797
819,403311,-2160.1,1e+20,433013,-1,359.56,-0.00268021,0,-84775.5,553800,368550,0,665224,0,0.3,317.215,344.742,1e+20,1,553800,368550,-320.737,38.8242
820,403803,-2162.11,1e+20,433013,-1,359.047,-0.00263019,0,-84359.7,554000,369000,0,665640,0,0.3,317.667,344.87,1e+20,1,554000,369000,-320.28,38.7689
